Playbook
"p376; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p377; ['c:HistoricalDataAnalysis']"
"p378; ['c:HistoricalDataAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis', 'IdentifierActivityAnalysis']"
"p37; ['c:IncidentHandlingManagement']"
"p380; ['IdentifierActivityAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p381; ['ConnectionAttemptAnalysis', 'NetworkTrafficAnalysis', 'InboundSessionVolumeAnalysis', 'ProtocolMetadataAnomalyDetection']"
"p382; ['IdentifierActivityAnalysis', 'URLAnalysis', 'IdentifierAnalysis']"
"p383; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p384; ['IdentifierActivityAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'FileHashing', 'FileAnalysis']"
"p385; ['PlatformMonitoring', 'OperatingSystemMonitoring', 'FirmwareBehaviorAnalysis', 'FirmwareVerification']"
"p386; ['FileIntegrityMonitoring', 'PlatformMonitoring', 'ResourceAccessPatternAnalysis']"
"p387; ['FileIntegrityMonitoring', 'PlattformMonitoring', 'ResourceAccessPatternAnalysis', 'UserBehaviorAnalysis']"
"p388; ['ProcessAnalysis', 'ProcessSpawnAnalysis', 'SystemCallAnalysis', 'ScriptExecutionAnalysis']"
"p38; ['c:IncidentHandlingManagement']"
"p390; ['NetworkTrafficAnalysis', 'PlatformMonitoring', 'ProcessAnalysis', 'UserBehaviorAnalysis']"
"p391; ['ExecutableAllowlisting', 'ExecutionIsolation', 'RemoteTerminalSessionDetection', 'NetworkTrafficAnalysis']"
"p392; ['AdministrativeNetworkActivityAnalysis', 'NetworkTrafficAnalysis', 'DNSTrafficAnalysis', 'DNSDenylisting', 'DNSAllowlisting', 'NetworkIsolation']"
"p393; ['AdministrativeNetworkActivityAnalysis', 'NetworkTrafficAnalysis', 'ProtocolMetadataAnomalyDetection']"
"p394; ['FileIntegrityMonitoring', 'PlatformMonitoring', 'FileAccessPatternAnalysis', 'ProcessAnalysis']"
"p395; ['RemoteTerminalSessionDetection', 'NetworkTrafficAnalysis']"
"p396; ['ProcessSpawnAnalysis', 'ProcessAnalysis']"
"p397; ['DomainAccountMonitoring', 'UserBehaviorAnalysis']"
"p39; ['OperationalActivityMapping', 'SystemMapping', 'AccessModeling', 'SystemDependencyMapping']"
"p3; ['NetworkTrafficFiltering', 'NetworkIsolation', 'DNSDenylisting']"
"p400; ['c:NotifyingTask']"
"p401; ['c:IncidentDocumentation']"
"p402; ['ProcessAnalysis', 'ProcessCodeSegmentVerification', 'ProcessSpawnAnalysis', 'ScriptExecutionAnalysis', 'SystemCallAnalysis']"
"p403; ['OperatingSystemMonitoring', 'PlatformMonitoring']"
"p404; ['RemoteTerminalSessionDetection', 'NetworkTrafficAnalysis']"
"p405; ['OperatingSystemMonitoring', 'PlatformMonitoring']"
"p406; ['OperatingSystemMonitoring', 'NetworkTrafficAnalysis']"
"p407; ['LocalAccountMonitoring', 'UserBehaviorAnalysis']"
"p408; ['ProcessSpawnAnalysis', 'ProcessAnalysis']"
"p40; ['c:AdditionalTask']"
"p410; ['SystemCallAnalysis', 'ProcessAnalysis']"
"p411; ['ShadowStackComparisons', 'OperatingSystemMonitoring', 'PlatformMonitoring', 'SystemCallAnalysis', 'ProcessAnalysis']"
"p412; ['FileAnalysis', 'OperatingSystemMonitoring', 'FileIntegrityMonitoring', 'SystemCallAnalysis', 'ProcessAnalysis', 'PlatformMonitoring']"
"p413; ['DomainAccountMonitoring', 'AdministrativeNetworkActivityAnalysis', 'UserBehaviorAnalysis', 'NetworkTrafficAnalysis']"
"p414; ['Client-serverPayloadProfiling', 'NetworkTrafficCommunityDeviation', 'ProtocolMetadataAnomalyDetection', 'CredentialCompromiseScopeAnalysis', 'NetworkTrafficAnalysis', 'UserBehaviorAnalysis']"
"p415; ['OperatingSystemMonitoring', 'PlatformMonitoring', 'ProcessSpawnAnalysis', 'ProcessAnalysis']"
"p416; ['DomainAccountMonitoring', 'UserBehaviorAnalysis']"
"p417; ['AdministrativeNetworkActivityAnalysis', 'NetworkTrafficAnalysis', 'SystemCallAnalysis', 'ProcessSpawnAnalysis', 'ProcessAnalysis']"
"p418; ['SystemCallAnalysis', 'ProcessSpawnAnalysis', 'ProcessAnalysis']"
"p41; ['AccountLocking','CredentialEviction']"
"p420; ['ProcessAnalysis', 'ProcessSpawnAnalysis', 'NetworkTrafficAnalysis', 'RPCTrafficAnalysis']"
"p421; ['AuthenticationEventThresholding', 'UserBehaviorAnalysis', 'RestoreNetworkAccess', 'RestoreAccess', 'RestoreUserAccountAccess', 'ResourceAccessPatternAnalysis', 'JobFunctionAccessPatternAnalysis']"
"p422; ['NetworkTrafficFiltering', 'NetworkIsolation', 'IdentifierActivityAnalysis', 'IdentifierAnalysis']"
"p423; ['c:NotifyingTask']"
"p424; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p425; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p426; ['UserGeolocationLogonPatternAnalysis', 'UserBehaviorAnalysis', 'AuthenticationEventThresholding', 'AuthorizationEventThresholding', 'UserBehaviorAnalysis']"
"p427; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'SystemVulnerabilityAssessment', 'SystemMapping', 'OperationalRiskAssessment', 'OperationalActivityMapping']"
"p428; ['OperationalActivityMapping', 'OperationalRiskAssessment', 'AssetVulnerabilityEnumeration', 'SystemVulnerabilityAssessment', 'AssetInventory']"
"p42; ['c:NotifyingTask']"
"p430; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p431; ['AssetVulnerabilityEnumeration', 'SystemVulnerabilityAssessment', 'AssetInventory', 'SystemMapping']"
"p432; ['AssetVulnerabilityEnumeration', 'SystemVulnerabilityAssessment', 'SystemMapping', 'AssetInventory']"
"p433; ['AssetInventory', 'AssetVulnerabilityEnumeration', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p434; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p435; ['ConfigurationInventory', 'DataInventory', 'AssetInventory']"
"p436; ['SystemVulnerabilityAssessment', 'OperationalRiskAssessment', 'OperationalActivityMapping', 'SystemMapping']"
"p437; ['SystemMapping', 'SystemVulnerabilityAssessment', 'OperationalRiskAssessment', 'OperationalActivityMapping']"
"p438; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p43; ['c:NotifyingTask']"
"p440; ['RestoreFile', 'RestoreObject', 'ExecutableDenylisting', 'ExecutionIsolation', 'FileHashing', 'FileAnalysis']"
"p441; ['ExecutionIsolation', 'ExecutableDenylisting', 'FileHashing', 'FileAnalysis', 'RestoreFile', 'RestoreObject']"
"p442; ['ExecutableDenylisting', 'FileHashing', 'RestoreFile', 'RestoreObject', 'FileAnalysis', 'ExecutionIsolation']"
"p443; ['ExecutableDenylisting', 'FileHashing', 'RestoreFile', 'RestoreObject', 'FileAnalysis', 'ExecutionIsolation']"
"p444; ['ExecutableDenylisting', 'ExecutionIsolation', 'FileHashing', 'FileAnalysis']"
"p445; ['FileAnalysis', 'FileHashing', 'ExecutableDenylisting', 'ExecutionIsolation']"
"p446; ['ExecutionIsolation', 'ExecutableDenylisting', 'FileHashing', 'FileAnalysis']"
"p447; ['ExecutionIsolation', 'ExecutableDenylisting', 'FileHashing', 'FileAnalysis']"
"p448; ['ExecutionIsolation', 'ExecutableDenylisting', 'FileHashing', 'FileAnalysis']"
"p44; ['c:NotifyingTask']"
"p450; ['ExecutionIsolation', 'ExecutableDenylisting', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p451; ['NetworkIsolation', 'NetworkTrafficFiltering', 'ExecutableDenylisting', 'ExecutionIsolation']"
"p452; ['ExecutableDenylisting', 'ExecutionIsolation', 'NetworkIsolation', 'NetworkTrafficFiltering', 'DNSDenylisting']"
"p453; ['DNSDenylisting', 'NetworkTrafficFiltering', 'NetworkIsolation', 'ExecutableDenylisting', 'ExecutionIsolation']"
"p454; ['ExecutableDenylisting', 'ExecutionIsolation', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'FileHashing', 'FileAnalysis']"
"p455; ['NetworkTrafficFiltering', 'NetworkIsolation', 'RestoreNetworkAccess', 'RestoreAccess']"
"p456; ['AccountLocking', 'CredentialEviction']"
"p457; ['AccountLocking', 'CredentialEviction']"
