Playbook
"p831; ['FileAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis']"
"p832; ['c:IncidentHandlingManagement']"
"p833; ['AssetVulnerabilityEnumeration','AssetInventory','AccountLocking', 'CredentialEviction', 'LocalAccountMonitoring', 'UserBehaviorAnalysis']"
"p834; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'Client-serverPayloadProfiling', 'NetworkTrafficSignatureAnalysis', 'RemoteTerminalSessionDetection', 'NetworkTrafficAnalysis']"
"p835; ['FileAccessPatternAnalysis', 'ResourceAccessPatternAnalysis', 'UserBehaviorAnalysis', 'ProcessAnalysis', 'NetworkTrafficFiltering']"
"p836; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'DNSTrafficAnalysis', 'NetworkTrafficAnalysis']"
"p837; ['LocalAccountMonitoring', 'UserBehaviorAnalysis', 'CredentialRevocation', 'CredentialEviction']"
"p838; ['DNSTrafficAnalysis', 'NetworkTrafficAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p83; ['c:CTI_Input']"
"p840; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p841; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p842; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p843; ['BroadcastDomainIsolation', 'NetworkIsolation', 'NetworkTrafficFiltering']"
"p844; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis', 'NetworkTrafficAnalysis']"
"p845; ['c:CTI_Input', 'AssetVulnerabilityEnumeration', 'AssetInventory', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p846; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p847; ['AdministrativeNetworkActivityAnalysis', 'ProcessAnalysis', 'NetworkTrafficAnalysis']"
"p848; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p84; ['c:AdditionalTask']"
"p850; ['FileAnalysis', 'RPCTrafficAnalysis', 'NetworkTrafficAnalysis', 'AssetVulnerabilityEnumeration', 'AssetInventory', 'BroadcastDomainIsolation', 'NetworkIsolation']"
"p851; ['FileAnalysis', 'AssetVulnerabilityEnumeration', 'AssetInventory']"
"p852; ['AssetInventory', 'AssetVulnerabilityEnumeration', 'FileAnalysis', 'ObjectEviction', 'FileEviction', 'BroadcastDomainIsolation', 'NetworkIsolation', 'HostShutdown', 'ProcessEviction']"
"p853; ['AssetInventory', 'AssetVulnerabilityEnumeration', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p854; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p855; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p856; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'CertificateAnalysis', 'NetworkTrafficAnalysis']"
"p857; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p858; ['SystemVulnerabilityAssessment', 'SystemMapping', 'ObjectEviction', 'FileEviction', 'NetworkTrafficFiltering', 'NetworkIsolation', 'HostShutdown', 'ProcessEviction']"
"p85; ['c:AdditionalTask']"
"p860; ['SystemVulnerabilityAssessment', 'SystemMapping', 'AssetVulnerabilityEnumeration', 'AssetInventory']"
"p861; ['SystemVulnerabilityAssessment', 'SystemMapping', 'DomainAccountMonitoring', 'UserBehaviorAnalysis', 'CredentialRotation', 'CredentialHardening']"
"p862; ['CredentialHardening', 'CredentialRotation', 'AccountLocking', 'CredentialEviction', 'CredentialCompromiseScopeAnalysis', 'UserBehaviorAnalysis']"
"p863; ['HostShutdown', 'ProcessEviction', 'AccountLocking', 'CredentialEviction', 'ExecutableDenylisting', 'ExecutionIsolation', 'IdentifierAnalysis', 'IdentifierReputationAnalysis', 'IdentifierActivityAnalysis']"
"p864; ['SenderReputationAnalysis', 'MessageAnalysis', 'FileAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'FileHashing', 'IdentifierActivityAnalysis']"
"p865; ['HostShutdown', 'ProcessEviction', 'ExecutableDenylisting', 'NetworkIsolation', 'OperatingSystemMonitoring', 'PlattformMonitoring','ExecutableAllowlisting']"
"p866; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'c:NotifyingTask']"
"p867; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p868; ['FileAnalysis', 'ObjectEviction', 'NetworkTrafficFiltering', 'NetworkIsolation', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p86; ['c:AdditionalTask']"
"p870; ['c:AdditionalTask']"
"p871; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation', 'ExecutableDenylisting', 'ExecutionIsolation']"
"p872; ['BroadcastDomainIsolation', 'NetworkIsolation', 'NetworkTrafficFiltering', 'ExecutableDenylisting', 'ExecutionIsolation', 'AccountLocking', 'CredentialEviction', 'FileAnalysis','ObjectEviction','FileEviction']"
"p873; ['c:CTI_Input', 'NetworkTrafficFiltering', 'IdentifierActivityAnalysis', 'IdentifierAnalysis', 'NetworkIsolation']"
"p874; ['LocalAccountMonitoring', 'UserBehaviorAnalysis', 'c:CTI_Input', 'CredentialTransmissionScoping']"
"p875; ['c:CTI_Input']"
"p876; ['c:CTI_Input', 'IdentifierActivityAnalysis', 'IdentifierAnalysis', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p877; ['IdentifierAnalysis', 'IdentifierActivityAnalysis']"
"p878; ['OperationalRiskAssessment', 'OperationalActivityMapping']"
"p87; ['c:AdditionalTask']"
"p880; ['OperationalRiskAssessment', 'OperationalActivityMapping']"
"p881; ['OperationalActivityMapping', 'OperationalRiskAssessment']"
"p882; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p883; ['IdentifierActivityAnalysis', 'IdentifierAnalysis']"
"p884; ['c:IncidentHandlingManagement']"
"p885; ['c:IncidentHandlingManagement']"
"p886; ['c:IncidentHandlingManagement']"
"p887; ['c:IncidentHandlingManagement']"
"p888; ['c:IncidentHandlingManagement']"
"p88; ['c:AdditionalTask', 'c:CTI_Input']"
"p890; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'HostShutdown', 'ProcessEviction', 'BroadcastDomainIsolation', 'NetworkIsolation']"
"p891; ['IdentifierActivityAnalysis', 'IdentifierAnalysis', 'NetworkIsolation', 'ExecutionIsolation']"
"p892; ['c:IncidentHandlingManagement']"
"p893; ['NetworkTrafficAnalysis', 'ConnectionAttemptAnalysis', 'ProtocolMetadataAnomalyDetection', 'RelayPatternAnalysis']"
"p894; ['FirmwareBehaviorAnalysis', 'FirmwareEmbeddedMonitoringCode', 'FirmwareVerification', 'FileIntegrityMonitoring', 'FileAnalysis', 'PlattformMonitoring']"
"p895; ['FileRemoval', 'FileEviction', 'AccountLocking', 'CredentialEviction', 'HostShutdown', 'ProcessEviction', 'ProcessTermination','RestoreObject','RestoreConfiguration','RestoreSoftware']"
"p896; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'URLAnalysis', 'IdentifierActivityAnalysis']"
"p897; ['c:IncidentHandlingManagement']"
"p89; ['c:AdditionalTask', 'c:IncidentHandlingManagement']"
"p8; ['NetworkIsolation', 'NetworkTrafficFiltering']"
"p900; ['c:IncidentHandlingManagement']"
"p901; ['FileAnalysis', 'DynamicAnalysis', 'ObjectEviction', 'FileEviction', 'NetworkTrafficAnalysis']"
"p902; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'SenderReputationAnalysis', 'MessageAnalysis']"
"p903; ['FileAnalysis', 'FileContentAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p904; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'URLAnalysis']"
"p905; ['ProcessTermination', 'ProcessEviction', 'ProcessSpawnAnalysis', 'ProcessAnalysis']"
"p906; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'SystemVulnerabilityAssessment', 'SystemMapping']"
"p907; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation', 'ExecutionIsolation']"
"p908; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'AssetVulnerabilityEnumeration', 'AssetInventory']"
"p90; ['c:IncidentHandlingManagement']"
"p910; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p911; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:NotifyingTask']"
"p912; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'URLAnalysis']"
"p913; ['IdentifierActivityAnalysis', 'IdentifierAnalysis']"
"p914; ['AssetInventory', 'AssetVulnerabilityEnumeration', 'DNSDenylisting', 'NetworkIsolation', 'RestoreNetworkAccess', 'RestoreAccess']"
"p915; ['NetworkTrafficFiltering', 'NetworkIsolation', 'AssetVulnerabilityEnumeration', 'AssetInventory', 'RestoreNetworkAccess', 'RestoreAccess']"
"p916; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p917; ['c:IncidentHandlingManagement']"
"p918; ['NetworkTrafficFiltering', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis', 'ExecutableDenylisting', 'ExecutionIsolation']"
"p91; ['c:IncidentHandlingManagement']"
"p920; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p921; ['IdentifierReputationAnalysis', 'IdentifierActivityAnalysis', 'IdentifierAnalysis']"
"p922; ['SoftwareUpdate', 'PlatformHardening']"
"p923; ['IdentifierActivityAnalysis', 'IdentifierAnalysis', 'NetworkIsolation', 'ExecutionIsolation', 'NetworkTrafficFiltering', 'NetworkIsolation', 'HostShutdown', 'ProcessEviction','RestoreObject','RestoreConfiguration','RestoreSoftware']"
"p924; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'URLAnalysis']"
"p925; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'FileAnalysis', 'ExecutableDenylisting', 'BroadcastDomainIsolation', 'NetworkIsolation']"
"p926; ['c:IncidentDocumentation']"
"p927; ['FileHashing', 'FileAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p928; ['c:AdditionalTask']"
"p92; ['c:AdditionalTask']"
"p930; ['FileAnalysis']"
"p931; ['FileContentAnalysis', 'FileAnalysis']"
"p932; ['FileAnalysis', 'FileContentAnalysis']"
"p933; ['c:AdditionalTask']"
"p934; ['c:AdditionalTask']"
"p935; ['c:AdditionalTask']"
"p936; ['c:AdditionalTask']"
"p937; ['c:AdditionalTask']"
"p938; ['c:AdditionalTask']"
"p93; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p940; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p941; ['c:AdditionalTask']"
"p942; ['c:AdditionalTask']"
"p943; ['c:AdditionalTask']"
"p944; ['AssetInventory', 'SystemMapping']"
"p945; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p946; ['AssetInventory', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p947; ['c:AdditionalTask']"
"p948; ['c:AdditionalTask']"
"p94; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'URLAnalysis']"
"p950; ['c:IncidentHandlingManagement']"
"p951; ['FileAnalysis', 'SenderReputationAnalysis', 'MessageAnalysis']"
"p952; ['c:AdditionalTask']"
"p953; ['c:AdditionalTask']"
"p954; ['c:AdditionalTask']"
"p955; ['c:AdditionalTask']"
"p956; ['c:AdditionalTask']"
"p957; ['c:CTI_Input']"
"p958; ['c:CTI_Input']"
"p95; ['FileAnalysis', 'DynamicAnalysis']"
"p960; ['IdentifierActivityAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'c:CTI_Input']"
"p961; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'c:CTI_Input']"
"p962; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:CTI_Input']"
"p963; ['c:CTI_Input', 'NetworkNodeInventory', 'AssetInventory']"
"p964; ['AssetInventory', 'NetworkNodeInventory', 'c:CTI_Input']"
"p965; ['NetworkNodeInventory', 'c:CTI_Input', 'AssetInventory']"
"p966; ['AssetInventory', 'NetworkNodeInventory', 'c:CTI_Input']"
"p967; ['NetworkNodeInventory', 'AssetInventory', 'c:CTI_Input']"
"p968; ['AssetInventory', 'NetworkNodeInventory', 'c:CTI_Input']"
"p96; ['c:NotifyingTask']"
"p970; ['NetworkTrafficAnalysis']"
"p971; ['PlatformMonitoring', 'FileIntegrityMonitoring', 'FileHashing', 'FileAnalysis']"
"p972; ['c:CTI_Input']"
"p973; ['NetworkNodeInventory', 'AssetInventory']"
"p974; ['FileIntegrityMonitoring', 'PlatformMonitoring']"
"p975; ['PlatformMonitoring', 'FileIntegrityMonitoring']"
"p976; ['c:AdditionalTask']"
"p977; ['c:AdditionalTask']"
"p978; ['c:AdditionalTask']"
"p97; ['c:AdditionalTask']"
"p980; ['c:AdditionalTask']"
"p981; ['c:AdditionalTask']"
"p982; ['c:CTI_Input', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p983; ['NetworkTrafficAnalysis']"
"p984; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p985; ['DNSDenylisting']"
"p986; ['DNSDenylisting']"
"p987; ['c:IncidentHandlingManagement']"
"p988; ['c:AdditionalTask']"
"p98; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p990; ['c:IncidentHandlingManagement']"
"p991; ['c:IncidentHandlingManagement']"
"p992; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p993; ['FileAnalysis']"
"p994; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p995; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p996; ['c:AdditionalTask']"
"p997; ['c:IncidentHandlingManagement']"
"p99; ['c:AdditionalTask']"
"p9; ['RestoreNetworkAccess', 'RestoreAccess']"
"p1000; ['c:AdditionalTask']"
"p1001; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'URLAnalysis']"
"p1002; ['MessageAnalysis', 'SenderReputationAnalysis']"
"p1003; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'AssetInventory', 'AssetVulnerabilityEnumeration']"
"p1004; ['AssetVulnerabilityEnumeration', 'AssetInventory', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1005; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1006; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1007; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1008; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p100; ['IdentifierActivityAnalysis', 'IdentifierAnalysis']"
"p1010; ['OperationalActivityMapping', 'OrganizationMapping', 'OperationalDependencyMapping', 'AccessModeling']"
"p1011; ['OrganizationMapping', 'OperationalActivityMapping']"
"p1012; ['DomainAccountMonitoring', 'UserBehaviorAnalysis']"
"p1013; ['c:CTI_Input']"
"p1014; ['c:CTI_Input', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1015; ['AccountLocking', 'CredentialEviction']"
"p1016; ['DNSDenylisting', 'NetworkIsolation']"
"p1017; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p1018; ['ExecutableDenylisting', 'ExecutionIsolation']"
"p1020; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p1021; ['NetworkIsolation', 'NetworkTrafficFiltering']"
"p1022; ['NetworkIsolation', 'NetworkTrafficFiltering']"
"p1023; ['c:IncidentScoring']"
"p1024; ['c:IncidentScoring']"
"p1025; ['c:IncidentScoring']"
"p1026; ['c:IncidentScoring']"
"p1027; ['c:IncidentScoring']"
"p1028; ['c:IncidentScoring', 'SenderReputationAnalysis', 'SenderMTAReputationAnalysis', 'MessageAnalysis']"
"p102; ['c:AdditionalTask']"
"p1030; ['ProcessAnalysis']"
"p1031; ['NetworkIsolation', 'ExecutionIsolation', 'ExecutableDenylisting', 'NetworkTrafficFiltering', 'NetworkIsolation', 'BroadcastDomainIsolation', 'HostShutdown']"
"p1032; ['c:AdditionalTask']"
"p1033; ['FileHashing', 'FileAnalysis', 'c:CTI_Input']"
"p1034; ['FileAnalysis', 'FileHashing', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1035; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p1036; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1037; ['c:HistoricalDataAnalysis']"
"p1038; ['c:IncidentHandlingManagement']"
"p103; ['c:AdditionalTask']"
"p1040; ['FileAnalysis']"
"p1041; ['FileAnalysis']"
"p1042; ['FileAnalysis']"
"p1043; ['FileAnalysis']"
"p1044; ['URLAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1045; ['URLAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1046; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'URLAnalysis']"
"p1047; ['URLAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1048; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p104; ['ProcessAnalysis', 'AssetInventory', 'SoftwareInventory']"
"p1050; ['MessageAnalysis', 'SenderMTAReputationAnalysis', 'SenderReputationAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1051; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'ApplicationConfigurationHardening', 'ApplicationHardening']"
"p1052; ['FileHashing', 'FileAnalysis', 'OperatingSystemMonitoring', 'PlatformMonitoring', 'ProcessAnalysis']"
"p1053; ['FileIntegrityMonitoring', 'FileAnalysis', 'PlatformMonitoring']"
"p1054; ['PlatformMonitoring', 'FileIntegrityMonitoring', 'FileAnalysis']"
"p1055; ['c:HistoricalDataAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1056; ['AssetInventory', 'AssetVulnerabilityEnumeration']"
"p1057; ['AssetInventory', 'AssetVulnerabilityEnumeration']"
"p1058; ['AssetInventory', 'AssetVulnerabilityEnumeration']"
"p105; ['c:AdditionalTask']"
"p1060; ['DataInventory', 'AssetInventory', 'FileAnalysis']"
"p1061; ['c:AdditionalTask']"
"p1062; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1063; ['c:CTI_Input', 'DataInventory', 'AssetVulnerabilityEnumeration', 'AssetInventory']"
"p1064; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'ExecutableAllowlisting', 'ExecutionIsolation']"
"p1065; ['c:AdditionalTask']"
"p1066; ['NetworkTrafficFiltering', 'ObjectEviction', 'NetworkIsolation', 'FileEviction']"
"p1067; ['NetworkNodeInventory', 'AssetInventory']"
"p1068; ['FileHashing', 'FileAnalysis']"
"p106; ['c:AdditionalTask']"
"p1070; ['FileAnalysis']"
"p1071; ['FileAnalysis']"
"p1072; ['FileAnalysis']"
"p1073; ['PlatformMonitoring', 'FileAnalysis']"
"p1074; ['c:AdditionalTask']"
"p1075; ['c:AdditionalTask']"
"p1076; ['c:AdditionalTask']"
"p1077; ['c:AdditionalTask']"
"p1078; ['ExecutableDenylisting', 'ExecutionIsolation']"
"p107; ['c:AdditionalTask']"
"p1080; ['AssetInventory', 'AssetVulnerabilityEnumeration']"
"p1081; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1082; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1083; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1084; ['NetworkIsolation', 'NetworkTrafficFiltering']"
"p1085; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p1086; ['FileAnalysis', 'ProcessAnalysis', 'PlattformMonitoring', 'OperatingSystemMonitoring', 'FileIntegrityMonitoring']"
"p1087; ['c:CTI_Input']"
"p1088; ['SenderReputationAnalysis', 'MessageAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p108; ['c:AdditionalTask']"
"p1090; ['SenderReputationAnalysis', 'MessageAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1091; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'SenderReputationAnalysis', 'MessageAnalysis']"
"p1092; ['SenderReputationAnalysis', 'MessageAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'FileAnalysis', 'EmulatedFileAnalysis', 'DynamicAnalysis', 'FileContentAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation', 'ObjectEviction', 'FileEviction']"
"p1093; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p1094; ['NetworkIsolation', 'NetworkTrafficFiltering']"
"p1095; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p1096; ['NetworkIsolation', 'NetworkTrafficFiltering', 'MessageAnalysis', 'SenderReputationAnalysis']"
"p1097; ['SenderMTAReputationAnalysis', 'SenderReputationAnalysis', 'MessageAnalysis']"
"p109; ['c:AdditionalTask']"
"p10; ['RestoreAccess', 'RestoreNetworkAccess']"
"p1100; ['c:AdditionalTask']"
"p1101; ['c:AdditionalTask']"
"p1102; ['ObjectEviction', 'FileEviction']"
"p1103; ['ObjectEviction', 'FileEviction']"
"p1104; ['OperatingSystemMonitoring', 'PlatformMonitoring', 'FileAnalysis', 'FileHashing']"
"p1105; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p1106; ['c:NotifyingTask']"
"p1107; ['c:NotifyingTask']"
"p1108; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'IdentifierActivityAnalysis']"
"p110; ['c:AdditionalTask']"
"p1110; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'IdentifierActivityAnalysis']"
"p1111; ['FileAnalysis', 'FileHashing', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1112; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1113; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1114; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'URLAnalysis']"
"p1115; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1116; ['c:AdditionalTask']"
"p1117; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1118; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p111; ['c:AdditionalTask']"
"p1120; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1121; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'FileAnalysis', 'FileHashing']"
"p1122; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'IdentifierActivityAnalysis']"
"p1123; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1124; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'FileHashing', 'IdentifierActivityAnalysis', 'FileAnalysis']"
"p1125; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'IdentifierActivityAnalysis']"
"p1126; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis']"
"p1127; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis']"
"p1128; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis']"
"p112; ['c:AdditionalTask']"
"p1130; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p1131; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1132; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1133; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1134; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1135; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1136; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1137; ['RestoreNetworkAccess', 'RestoreAccess']"
"p1138; ['MessageEncryption', 'MessageHardening', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p113; ['c:AdditionalTask']"
"p1140; ['FileAnalysis', 'DynamicAnalysis']"
"p1141; ['c:IncidentHandlingManagement']"
"p1142; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'OperationalRiskAssessment', 'OperationalActivityMapping']"
"p1143; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p1144; ['FileIntegrityMonitoring', 'PlatformMonitoring', 'AssetVulnerabilityEnumeration', 'AssetInventory']"
"p1145; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1146; ['LocalAccountMonitoring', 'UserBehaviorAnalysis']"
"p1147; ['NetworkTrafficAnalysis']"
"p1148; ['c:IncidentHandlingManagement']"
"p114; ['c:AdditionalTask']"
"p1150; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'c:IncidentHandlingManagement']"
"p1151; ['c:IncidentHandlingManagement', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1152; ['IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1153; ['NetworkIsolation', 'NetworkTrafficFiltering', 'NetworkIsolation', 'ExecutableDenylisting', 'ExecutionIsolation']"
"p1154; ['OperatingSystemMonitoring', 'PlatformMonitoring']"
"p1155; ['FileIntegrityMonitoring', 'PlatformMonitoring']"
"p1156; ['BroadcastDomainIsolation', 'NetworkIsolation', 'NetworkTrafficFiltering', 'PlatformMonitoring', 'NetworkTrafficAnalysis']"
"p1157; ['IdentifierActivityAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'ObjectEviction', 'FileEviction', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p1158; ['OperatingSystemMonitoring', 'PlatformMonitoring', 'FileIntegrityMonitoring']"
"p115; ['c:AdditionalTask']"
"p1160; ['c:CTI_Input', 'IdentifierActivityAnalysis', 'IdentifierAnalysis']"
"p1161; ['c:CTI_Input', 'AssetInventory', 'AssetVulnerabilityEnumeration']"
"p1162; ['c:CTI_Input']"
"p1163; ['c:IncidentHandlingManagement']"
"p1164; ['c:CTI_Input']"
"p1165; ['c:CTI_Input']"
"p1166; ['c:CTI_Input']"
"p1167; ['c:CTI_Input', 'AssetInventory', 'AssetVulnerabilityEnumeration']"
"p1168; ['SoftwareInventory', 'PlatformHardening']"
"p116; ['c:AdditionalTask']"
"p1170; ['ObjectEviction', 'FileEviction', 'RestoreFile', 'RestoreObject']"
"p1171; ['c:CTI_Input']"
"p1172; ['SystemVulnerabilityAssessment', 'OperationalActivityMapping']"
"p1173; ['CredentialRotation', 'CredentialHardening', 'AccountLocking', 'CredentialEviction']"
"p1174; ['NetworkTrafficAnalysis']"
"p1175; ['NetworkTrafficFiltering', 'NetworkIsolation', 'SenderReputationAnalysis', 'MessageAnalysis']"
"p1176; ['NetworkTrafficFiltering', 'NetworkIsolation', 'ExecutableDenylisting', 'NetworkIsolation']"
"p1177; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p1178; ['LocalAccountMonitoring', 'UserBehaviorAnalysis']"
"p117; ['ExecutionIsolation', 'NetworkIsolation', 'RestoreFile', 'RestoreObject', 'IdentifierActivityAnalysis', 'IdentifierAnalysis', 'FileHashing', 'FileAnalysis']"
"p1180; ['NetworkIsolation', 'NetworkTrafficFiltering', 'URLAnalysis', 'IdentifierAnalysis']"
"p1181; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p1182; ['NetworkIsolation', 'NetworkTrafficFiltering', 'ExecutableDenylisting', 'ExecutionIsolation']"
"p1183; ['NetworkTrafficFiltering', 'NetworkIsolation']"
